Agency,Description,Uploaded on,Link,Saved
CONSUMER FINANCIAL PROTECTION BUREAU,AMERICAN BANKERS ASSOCIATIO...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343021A00005&modNumber=P00005&idvAgencyID=&idvPIID=&contractType=IDV,$0
CONSUMER FINANCIAL PROTECTION BUREAU,EXPERT WITNESS AND TESTING ...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343021A00007&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=IDV,$0
CONSUMER FINANCIAL PROTECTION BUREAU,NATIONAL INSTITUTE FOR TRIA...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343023A00001&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=IDV,$0
CONSUMER FINANCIAL PROTECTION BUREAU,EVALUATION AND RESEARCH SER...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21A0016&modNumber=P00002&idvAgencyID=&idvPIID=47QRAA18D003Z&contractType=IDV,$0
CONSUMER FINANCIAL PROTECTION BUREAU,EVALUATION AND RESEARCH SER...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21A0015&modNumber=P00003&idvAgencyID=&idvPIID=47QRAA18D00DQ&contractType=IDV,$0
CONSUMER FINANCIAL PROTECTION BUREAU,EVALUATION AND RESEARCH SER...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21A0019&modNumber=P00002&idvAgencyID=&idvPIID=47QRAA19D00BV&contractType=IDV,$0
CONSUMER FINANCIAL PROTECTION BUREAU,OMWI TRAINING SUPPORT - CFP...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24A0010&modNumber=P00002&idvAgencyID=&idvPIID=47QTCA23D003F&contractType=IDV,$0
CONSUMER FINANCIAL PROTECTION BUREAU,NUVOLO IWMS LICENSES,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343021F00033&modNumber=P00005&idvAgencyID=&idvPIID=NNG15SD06B&contractType=AWARD,$0
CONSUMER FINANCIAL PROTECTION BUREAU,BEYONDTRUST LICENSES,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00022&modNumber=P00002&idvAgencyID=&idvPIID=NNG15SD09B&contractType=AWARD,$0
CONSUMER FINANCIAL PROTECTION BUREAU,YUBIENTERPRISE COMPLIANCE T...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343023F00019&modNumber=P00004&idvAgencyID=&idvPIID=NNG15SD11B&contractType=AWARD,$0
CONSUMER FINANCIAL PROTECTION BUREAU,IBM I2 ANALYST NOTEBOOK LIC...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343020F00068&modNumber=P00006&idvAgencyID=&idvPIID=NNG15SD23B&contractType=AWARD,$0
CONSUMER FINANCIAL PROTECTION BUREAU,DELL POWEREDGE SERVER MAINT...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00017&modNumber=P00001&idvAgencyID=&idvPIID=NNG15SD24B&contractType=AWARD,$0
CONSUMER FINANCIAL PROTECTION BUREAU,OFLEO/ENF FORECLOSURE DATA,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24F0085&modNumber=P00001&idvAgencyID=&idvPIID=NNG15SD74B&contractType=AWARD,$0
CONSUMER FINANCIAL PROTECTION BUREAU,LINKEDIN RECRUITER LICENSES...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343022F00042&modNumber=P00004&idvAgencyID=&idvPIID=NNG15SD76B&contractType=AWARD,$0
CONSUMER FINANCIAL PROTECTION BUREAU,EVALUATION AND RESEARCH SER...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21A0017&modNumber=P00002&idvAgencyID=&idvPIID=GS00F009DA&contractType=IDV,$0
CONSUMER FINANCIAL PROTECTION BUREAU,VIRTUAL EFFECTIVE EDGE TRAI...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024P00006&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,"$16,470"
CONSUMER FINANCIAL PROTECTION BUREAU,LEGAL SUPPORT SERVICES - PA...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24F0035&modNumber=P00002&idvAgencyID=&idvPIID=9531CB21D0004&contractType=AWARD,"$25,603"
CONSUMER FINANCIAL PROTECTION BUREAU,MAKING ENDS MEET - CREDIT P...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00039&modNumber=P00002&idvAgencyID=&idvPIID=20343023D00001&contractType=AWARD,"$26,322"
CONSUMER FINANCIAL PROTECTION BUREAU,CONSUMER CREDIT INFORMATION...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343025F00001&modNumber=P00001&idvAgencyID=&idvPIID=20343023D00001&contractType=AWARD,"$27,112"
CONSUMER FINANCIAL PROTECTION BUREAU,TERRITORIES EXPERT,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23C0006&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,"$27,200"
CONSUMER FINANCIAL PROTECTION BUREAU,ACCURINT GOVERNMENT PLUS LI...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00048&modNumber=P00002&idvAgencyID=&idvPIID=03310323D0035&contractType=AWARD,"$36,120"
CONSUMER FINANCIAL PROTECTION BUREAU,ARBITRATION SERVICES,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23C0019&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,"$52,300"
CONSUMER FINANCIAL PROTECTION BUREAU,AITE GROUP RESEARCH SERVICES,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343022P00011&modNumber=P00005&idvAgencyID=&idvPIID=&contractType=AWARD,"$61,057"
CONSUMER FINANCIAL PROTECTION BUREAU,MOBILE INTELLIGENCE DATA PL...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23P0014&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,"$64,200"
CONSUMER FINANCIAL PROTECTION BUREAU,LAWPROSE FY24 ADVANCED LEGA...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024P00005&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,"$65,370"
CONSUMER FINANCIAL PROTECTION BUREAU,CLEAR INVESTIGATION SOFTWARE,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00053&modNumber=P00002&idvAgencyID=&idvPIID=GS02F026DA&contractType=AWARD,"$81,582"
CONSUMER FINANCIAL PROTECTION BUREAU,STUDENT LOAN EXPERT WITNESS...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB19C0009&modNumber=P00006&idvAgencyID=&idvPIID=&contractType=AWARD,"$87,670"
CONSUMER FINANCIAL PROTECTION BUREAU,NATIONAL INSTITUTE FOR TRIA...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00014&modNumber=P00003&idvAgencyID=&idvPIID=20343023A00001&contractType=AWARD,"$119,805"
CONSUMER FINANCIAL PROTECTION BUREAU,CONSUMER SURVEY - PILOT,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23F0071&modNumber=P00005&idvAgencyID=&idvPIID=9531CB20A0007&contractType=AWARD,"$135,710"
CONSUMER FINANCIAL PROTECTION BUREAU,COMPENSATION AND CONSULTING...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21C0027&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,"$135,988"
CONSUMER FINANCIAL PROTECTION BUREAU,EXPERIAN VELOCITY,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024C00001&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,"$186,750"
CONSUMER FINANCIAL PROTECTION BUREAU,EXPERT CONTRACT - HMDA ANAL...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21C0024&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,"$252,781"
CONSUMER FINANCIAL PROTECTION BUREAU,AUTO-LOAN-SERVICING EXPERT,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21C0007&modNumber=P00005&idvAgencyID=&idvPIID=&contractType=AWARD,"$387,161"
CONSUMER FINANCIAL PROTECTION BUREAU,EXPERT WITNESS,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21C0025&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD,"$409,991"
CONSUMER FINANCIAL PROTECTION BUREAU,ECONOMIC ANAYSIS EXPERT SUP...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB20C0016&modNumber=P00007&idvAgencyID=&idvPIID=&contractType=AWARD,"$596,513"
CONSUMER FINANCIAL PROTECTION BUREAU,508 SUPPORT SERVICES,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23C0008&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD,"$732,081"
CONSUMER FINANCIAL PROTECTION BUREAU,CONSUMER CREDIT INFORMATION...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00052&modNumber=P00001&idvAgencyID=&idvPIID=20343023D00001&contractType=AWARD,"$899,985"
CONSUMER FINANCIAL PROTECTION BUREAU,CYBERSECURITY SUPPORT SERVI...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00004&modNumber=P00004&idvAgencyID=&idvPIID=20343023A00005&contractType=AWARD,"$1,022,444"
CONSUMER FINANCIAL PROTECTION BUREAU,CYBERSECURITY SUPPORT SERVI...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00002&modNumber=P00006&idvAgencyID=&idvPIID=20343023A00006&contractType=AWARD,"$1,863,492"
CONSUMER FINANCIAL PROTECTION BUREAU,CYBERSECURITY SUPPORT SERVI...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00005&modNumber=P00004&idvAgencyID=&idvPIID=20343023A00003&contractType=AWARD,"$1,917,787"
CONSUMER FINANCIAL PROTECTION BUREAU,RESEARCH FOR INNOVATIVE FIN...,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB20F0100&modNumber=P00004&idvAgencyID=&idvPIID=9531CB20A0007&contractType=AWARD,$0
CONSUMER FINANCIAL PROTECTION BUREAU,BPA CALL FOR FACILITATION S...,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB20F0092&modNumber=P00002&idvAgencyID=&idvPIID=9531CB18A0002&contractType=AWARD,$0.53
CONSUMER FINANCIAL PROTECTION BUREAU,BLOOMBERG TERMINALS - TERMI...,2/11/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24C0024&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,"$148,350"
CONSUMER FINANCIAL PROTECTION BUREAU,SNL US FIG VIA THE S&P GLOB...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343020C00003&modNumber=P00007&idvAgencyID=&idvPIID=&contractType=AWARD,$0
CONSUMER FINANCIAL PROTECTION BUREAU,RELATIONAL JUNCTION SW RENEWAL,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343021C00003&modNumber=P00006&idvAgencyID=&idvPIID=&contractType=AWARD,$0
CONSUMER FINANCIAL PROTECTION BUREAU,NATIONAL CONSUMER LAW CENTE...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343021C00006&modNumber=P00008&idvAgencyID=&idvPIID=&contractType=AWARD,$0
CONSUMER FINANCIAL PROTECTION BUREAU,FINANCIAL TIMES SERVICES,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343022P00007&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD,$0
CONSUMER FINANCIAL PROTECTION BUREAU,CAPITOL FORUM SUBSCRIPTION,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343022P00009&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD,$0
CONSUMER FINANCIAL PROTECTION BUREAU,INSIDE MORTGAGE FINANCE ACC...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024C00003&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD,$0
CONSUMER FINANCIAL PROTECTION BUREAU,CONSUMER FINANCIAL PROTECTI...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=4740&PIID=47PM0224C0002&modNumber=PS0001&idvAgencyID=&idvPIID=&contractType=AWARD,$0
CONSUMER FINANCIAL PROTECTION BUREAU,CREDIT PRODUCT CONSUMER DIR...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB20C0009&modNumber=P00005&idvAgencyID=&idvPIID=&contractType=AWARD,$0
CONSUMER FINANCIAL PROTECTION BUREAU,CARDBEAT AND PAYMENTS REPORT,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21C0008&modNumber=P00006&idvAgencyID=&idvPIID=&contractType=AWARD,$0
CONSUMER FINANCIAL PROTECTION BUREAU,CLOUD TRAINING,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB22C0004&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,$0
CONSUMER FINANCIAL PROTECTION BUREAU,COMPLIANCE ANALYSIS TOOL LI...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23C0001&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,$0
CONSUMER FINANCIAL PROTECTION BUREAU,FURNISHING EXPERT,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23C0002&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,$0
CONSUMER FINANCIAL PROTECTION BUREAU,ESCALENT ADVISORY SERVICES,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23C0020&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,$0
CONSUMER FINANCIAL PROTECTION BUREAU,AMERICAN BANKER & NATIONAL ...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24C0011&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD,$0
CONSUMER FINANCIAL PROTECTION BUREAU,VIRTUAL ANONYMOUS WORKSTATION,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24C0013&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD,$0
CONSUMER FINANCIAL PROTECTION BUREAU,OCLC WORLDSHARE MANAGEMENT ...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24P0005&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,$0
CONSUMER FINANCIAL PROTECTION BUREAU,HANDSHAKE SUBSCRIPTION SERVICE,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24P0006&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,$0
CONSUMER FINANCIAL PROTECTION BUREAU,FRANKLIN COVEY ALL ACCESS P...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24P0013&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD,$0
CONSUMER FINANCIAL PROTECTION BUREAU,MOODY'S CREDIT FORECAST,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24P0014&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD,$0
CONSUMER FINANCIAL PROTECTION BUREAU,ADMINISTRATIVE LAW TREATISE...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24P0018&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD,$0
CONSUMER FINANCIAL PROTECTION BUREAU,MORTGAGE RATE LOCK DATA,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24P0021&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD,$0
CONSUMER FINANCIAL PROTECTION BUREAU,CERTIFIED INFORMATION SYSTE...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24P0022&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD,$0
CONSUMER FINANCIAL PROTECTION BUREAU,YEARLY SUBSCRIPTION TO WEST...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24P0023&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD,$0
CONSUMER FINANCIAL PROTECTION BUREAU,FULL CENTER FOR EXECUTIVE C...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24P0026&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD,$0
CONSUMER FINANCIAL PROTECTION BUREAU,EZPROTECT SERVICES,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB25C0011&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD,$0
CONSUMER FINANCIAL PROTECTION BUREAU,EQUEST SUBSCRIPTION,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB25P0005&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD,$0
CONSUMER FINANCIAL PROTECTION BUREAU,ATD FORUM MEMBERSHIP - FY25,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB25P0010&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD,$0
CONSUMER FINANCIAL PROTECTION BUREAU,FINTECH MEETUP 2025 MEETING...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB25P0011&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD,$0
CONSUMER FINANCIAL PROTECTION BUREAU,REMOTE USER TESTING PLATFORM,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB25P0013&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD,$0
CONSUMER FINANCIAL PROTECTION BUREAU,THE ECONOMIST SUBSCRIPTION,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343021F00006&modNumber=P00009&idvAgencyID=&idvPIID=03310319D0022&contractType=AWARD,$0
CONSUMER FINANCIAL PROTECTION BUREAU,LEXISNEXIS ADVANCE RESEARCH...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343023F00052&modNumber=P00002&idvAgencyID=&idvPIID=03310319D0028&contractType=AWARD,$0
CONSUMER FINANCIAL PROTECTION BUREAU,PROCURE INFORMA MORTGAGE DA...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB20F0045&modNumber=P00009&idvAgencyID=&idvPIID=03310319D0033&contractType=AWARD,$0
CONSUMER FINANCIAL PROTECTION BUREAU,HEIN ONLINE ELECTRONIC SUBS...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343023F00046&modNumber=P00002&idvAgencyID=&idvPIID=03310319D0055&contractType=AWARD,$0
CONSUMER FINANCIAL PROTECTION BUREAU,LEADERSHIP CONNECT,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23F0016&modNumber=P00003&idvAgencyID=&idvPIID=03310319D0074&contractType=AWARD,$0
CONSUMER FINANCIAL PROTECTION BUREAU,JSTOR ONLINE JOURNAL,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00050&modNumber=0&idvAgencyID=&idvPIID=03310319D0075&contractType=AWARD,$0
CONSUMER FINANCIAL PROTECTION BUREAU,EBSCO HOST SUBSCRIPTION,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24F0067&modNumber=0&idvAgencyID=&idvPIID=03310323D0067&contractType=AWARD,$0
CONSUMER FINANCIAL PROTECTION BUREAU,CONSUMER CREDIT INFORMATION...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343023D00001&modNumber=P00010&idvAgencyID=&idvPIID=&contractType=IDV,$0
CONSUMER FINANCIAL PROTECTION BUREAU,COMPLIANCE TRAINING,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21A0022&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=IDV,$0
CONSUMER FINANCIAL PROTECTION BUREAU,LEGAL SUPPORT SERVICES - PA...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21D0001&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=IDV,$0
